synset,hypernym,depth,level,entity,entity_hypernym,wiki_title,pageviews,neg_hypernym,domain
causality.n.01,relation.n.01,3,1,causality,relation,causality,8.32e-07,group,Abstraction
jimdandy.n.02,thing.n.08,2,1,jimdandy,thing,jimdandy,1.07e-07,psychological feature,Other
freshener.n.01,thing.n.08,2,1,freshener,thing,freshener,3.24e-07,attribute,Other
vagabond.n.01,object.n.01,3,1,vagabond,object,vagabond,6.03e-07,relation,Other
locus.n.03,set.n.02,3,1,locus,set,locus,1.51e-06,measure,Abstraction
sainthood.n.01,group.n.01,3,1,sainthood,group,sainthood,2.75e-07,measure,Abstraction
encapsulation.n.02,process.n.06,3,1,encapsulation,process,encapsulation,4.07e-07,measure,Other
interrelation.n.01,relation.n.01,3,1,interrelation,relation,interrelation,1.1e-07,thing,Abstraction
reciprocality.n.01,relation.n.01,3,1,reciprocality,relation,reciprocality,1.1e-06,matter,Abstraction
chelation.n.01,process.n.06,3,1,chelation,process,chelation,1.48e-07,group,Other
stinker.n.02,thing.n.08,2,1,stinker,thing,stinker,2.75e-07,process,Other
subgroup.n.01,group.n.01,3,1,subgroup,group,subgroup,1.2e-06,measure,Abstraction
otherworld.n.01,abstraction.n.06,2,1,otherworld,abstraction,otherworld,1.74e-07,group,Abstraction
commemorative.n.01,object.n.01,3,1,commemorative,object,commemorative,1.7e-06,process,Other
common_denominator.n.02,attribute.n.02,3,1,common denominator,attribute,common denominator,1.34e-06,process,Abstraction
magnetization.n.01,measure.n.02,3,1,magnetization,measure,magnetization,2.75e-07,group,Abstraction
halogen.n.01,group.n.01,3,1,halogen,group,halogen,6.76e-07,object,Abstraction
emanation.n.01,matter.n.03,3,1,emanation,matter,emanation,1.51e-07,process,Other
varna.n.02,group.n.01,3,1,varna,group,varna,6.03e-07,attribute,Abstraction
ethos.n.01,attribute.n.02,3,1,ethos,attribute,ethos,2.09e-06,entity,Abstraction
je_ne_sais_quoi.n.01,object.n.01,3,1,je ne sais quoi,object,je ne sais quoi,1.24e-07,physical entity,Other
whacker.n.01,thing.n.08,2,1,whacker,thing,whacker,5.01e-07,set,Other
sensitization.n.02,process.n.06,3,1,sensitization,process,sensitization,2.45e-07,object,Other
actinoid.n.01,group.n.01,3,1,actinoid,group,actinoid,8.13e-08,measure,Abstraction
mandelbrot_set.n.01,set.n.02,3,1,mandelbrot set,set,mandelbrot set,1.1e-07,group,Abstraction
floater.n.07,object.n.01,3,1,floater,object,floater,3.89e-07,group,Other
uncheerfulness.n.02,attribute.n.02,3,1,uncheerfulness,attribute,uncheerfulness,1e-09,communication,Abstraction
cordage.n.01,measure.n.02,3,1,cordage,measure,cordage,8.71e-08,relation,Abstraction
shiner.n.02,object.n.01,3,1,shiner,object,shiner,4.27e-07,abstraction,Other
eidos.n.01,attribute.n.02,3,1,eidos,attribute,eidos,8.91e-08,communication,Abstraction
straggle.n.01,group.n.01,3,1,straggle,group,straggle,2.75e-08,process,Abstraction
didacticism.n.01,communication.n.02,3,1,didacticism,communication,didacticism,3.63e-08,group,Abstraction
antimatter.n.01,matter.n.03,3,1,antimatter,matter,antimatter,4.37e-07,abstraction,Other
paring.n.02,object.n.01,3,1,paring,object,paring,3.47e-07,group,Other
solute.n.01,matter.n.03,3,1,solute,matter,solute,3.72e-07,psychological feature,Other
irreversible_process.n.01,process.n.06,3,1,irreversible process,process,irreversible process,1.89e-06,causal agent,Other
ballast.n.03,attribute.n.02,3,1,ballast,attribute,ballast,1.45e-06,object,Abstraction
paralanguage.n.01,communication.n.02,3,1,paralanguage,communication,paralanguage,1.35e-08,set,Abstraction
octane_number.n.01,measure.n.02,3,1,octane number,measure,octane number,1.2e-06,attribute,Abstraction
degeneration.n.01,process.n.06,3,1,degeneration,process,degeneration,1.32e-06,thing,Other
mathematical_space.n.01,set.n.02,3,1,mathematical space,set,mathematical space,1.03e-05,process,Abstraction
keepsake.n.01,object.n.01,3,1,keepsake,object,keepsake,6.61e-06,communication,Other
cheerfulness.n.01,attribute.n.02,3,1,cheerfulness,attribute,cheerfulness,1.45e-05,psychological feature,Abstraction
indefinite_quantity.n.01,measure.n.02,3,1,indefinite quantity,measure,indefinite quantity,2.11e-06,attribute,Abstraction
abstraction.n.06,entity.n.01,1,1,abstraction,entity,abstraction,6.74e-06,attribute,Abstraction
security_blanket.n.01,thing.n.08,2,1,security blanket,thing,security blanket,1.09e-05,process,Other
physical_entity.n.01,entity.n.01,1,1,physical entity,entity,physical entity,1.14e-05,group,Other
intersection.n.03,set.n.02,3,1,intersection,set,intersection,7.59e-06,process,Abstraction
mathematical_relation.n.01,relation.n.01,3,1,mathematical relation,relation,mathematical relation,7.13e-06,group,Abstraction
makeweight.n.01,object.n.01,3,1,makeweight,object,makeweight,2.63e-06,relation,Other
snake.n.05,object.n.01,3,1,snake,object,snake,1.7e-05,group,Other
phenomenon.n.01,process.n.06,3,1,phenomenon,process,phenomenon,1.35e-05,object,Other
temporal_relation.n.01,relation.n.01,3,1,temporal relation,relation,temporal relation,3.53e-06,group,Abstraction
discard.n.01,object.n.01,3,1,discard,object,discard,2.34e-06,causal agent,Other
linguistic_relation.n.01,relation.n.01,3,1,linguistic relation,relation,linguistic relation,4.1e-06,causal agent,Abstraction
interval.n.02,set.n.02,3,1,interval,set,interval,5.89e-06,physical entity,Abstraction
charm.n.03,object.n.01,3,1,charm,object,charm,1.32e-05,abstraction,Other
fluid.n.02,matter.n.03,3,1,fluid,matter,fluid,1.66e-05,relation,Other
quantum.n.02,measure.n.02,3,1,quantum,measure,quantum,1.17e-05,physical entity,Abstraction
catalyst.n.02,causal_agent.n.01,3,1,catalyst,causal agent,catalyst,5.75e-06,measure,Other
substance.n.07,matter.n.03,3,1,substance,matter,substance,1.7e-05,process,Substance
system_of_measurement.n.01,measure.n.02,3,1,system of measurement,measure,system of measurement,1.09e-05,causal agent,Abstraction
relative_quantity.n.01,measure.n.02,3,1,relative quantity,measure,relative quantity,8.46e-06,entity,Abstraction
attribute.n.02,abstraction.n.06,2,1,attribute,abstraction,attribute,5.89e-06,causal agent,Abstraction
trait.n.01,attribute.n.02,3,1,trait,attribute,trait,4.9e-06,group,Abstraction
supernatural.n.01,causal_agent.n.01,3,1,supernatural,causal agent,supernatural,7.76e-06,object,Other
logical_relation.n.01,relation.n.01,3,1,logical relation,relation,logical relation,8.24e-06,thing,Abstraction
subset.n.01,set.n.02,3,1,subset,set,subset,3.39e-06,physical entity,Abstraction
variation.n.07,process.n.06,3,1,variation,process,variation,1.2e-05,communication,Other
