entity,hypernym,neg_hypernym,depth,level,pageviews,go_id,parent_id,namespace
nicotinamide metabolic process,alkaloid metabolic process,growth factor binding,5,1,1.07e-07,GO:0006769,GO:0009820,biological_process
somite specification,segment specification,intercellular transport,5,1,2.63e-08,GO:0001757,GO:0007379,biological_process
ethylbenzene catabolic process,hydrocarbon catabolic process,ATPase-coupled transmembrane transporter activity,5,1,3.02e-08,GO:0018915,GO:0120253,biological_process
autophagosome membrane docking,organelle localization by membrane tethering,cell projection,5,1,1.15e-08,GO:0016240,GO:0140056,biological_process
methotrexate transmembrane transporter activity,dicarboxylic acid transmembrane transporter activity,nuclear protein-containing complex,5,1,3.02e-07,GO:0015350,GO:0005310,molecular_function
structural constituent of adult chitin-based cuticle,structural constituent of chitin-based cuticle,kinase activity,5,1,1.51e-05,GO:0008012,GO:0005214,molecular_function
cilium,membrane-bounded organelle,protein binding,5,1,5.13e-08,GO:0005929,GO:0043227,cellular_component
molecular sequestering activity,molecular_function,cell cycle phase,2,1,1.29e-05,GO:0140313,GO:0003674,molecular_function
pyrimidine nucleobase transmembrane transporter activity,nucleobase transmembrane transporter activity,ATPase-coupled transmembrane transporter activity,5,1,1.02e-07,GO:0005350,GO:0015205,molecular_function
arrestin family protein binding,protein binding,viral capsid,4,1,2.82e-08,GO:1990763,GO:0005515,molecular_function
epidermal growth factor binding,growth factor binding,regulation of hormone levels,4,1,4.47e-07,GO:0048408,GO:0019838,molecular_function
hair follicle development,anatomical structure development,pattern specification process,4,1,0.00012,GO:0001942,GO:0048856,biological_process
Mullerian duct regression,anatomical structure regression,antigen processing and presentation,4,1,2.51e-08,GO:0001880,GO:0060033,biological_process
nuclear pre-replicative complex,nuclear protein-containing complex,axis specification,4,1,5.37e-05,GO:0005656,GO:0140513,cellular_component
neutral L-amino acid transmembrane transporter activity,amino acid transmembrane transporter activity,dicarboxylic acid transmembrane transporter activity,5,1,1.74e-05,GO:0015175,GO:0015171,molecular_function
quaternary ammonium group:proton symporter activity,quaternary ammonium group transmembrane transporter activity,transcription regulator complex,5,1,7.08e-07,GO:0015652,GO:0015651,molecular_function
interferon regulatory factor 7 complex,interferon regulatory factor complex,intracellular protein transport,4,1,5.75e-07,GO:0097074,GO:0097071,cellular_component
phosphatidylserine binding,anion binding,phosphorus metabolic process,4,1,4.07e-08,GO:0001786,GO:0043168,molecular_function
endoplasmic reticulum membrane-lipid droplet contact site,cellular anatomical structure,anatomical structure development,3,1,2.51e-07,GO:0160259,GO:0110165,cellular_component
response to vitamin B1,response to vitamin,developmental process involved in reproduction,5,1,0.000107,GO:0010266,GO:0033273,biological_process
molecular sensor activity,molecular function regulator activity,protein-containing complex,3,1,1.29e-05,GO:0140299,GO:0098772,molecular_function
Golgi vesicle transport,vesicle-mediated transport,cellular anatomical structure,4,1,2.88e-07,GO:0048193,GO:0016192,biological_process
coenzyme A transmembrane transporter activity,organophosphate ester transmembrane transporter activity,generation of precursor metabolites and energy,5,1,2.57e-07,GO:0015228,GO:0015605,molecular_function
anatomical structure homeostasis,multicellular organismal-level homeostasis,anatomical structure development,4,1,1.62e-06,GO:0060249,GO:0048871,biological_process
LDL-containing protein-lipid-RNA complex,protein-lipid-RNA complex,"ligase activity, forming carbon-carbon bonds",4,1,8.07e-07,GO:1990686,GO:1990684,cellular_component
helical viral capsid,viral capsid,amino acid transmembrane transporter activity,4,1,6.46e-07,GO:0019029,GO:0019028,cellular_component
N-acetylglucosaminylphosphatidylinositol deacetylase activity,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides",plant organ formation,5,1,0.0,GO:0000225,GO:0016811,molecular_function
tryptophanase activity,carbon-carbon lyase activity,cardiac muscle adaptation,5,1,0.0,GO:0009034,GO:0016830,molecular_function
floral organ formation,plant organ formation,"catalytic activity, acting on a protein",4,1,5.89e-06,GO:0048449,GO:1905393,biological_process
circadian regulation of gene expression,circadian rhythm,oxidoreductase activity,4,1,9.33e-07,GO:0032922,GO:0007623,biological_process
somatic sex determination,sex determination,protein-lipid-RNA complex,5,1,8.51e-07,GO:0018993,GO:0007530,biological_process
tRNA queuosine(34) biosynthetic process,biosynthetic process,membrane protein complex,5,1,3.39e-07,GO:0008616,GO:0009058,biological_process
cardiac muscle hypertrophy in response to stress,cardiac muscle adaptation,transcription regulator complex,5,1,6.92e-06,GO:0014898,GO:0014887,biological_process
growth cone membrane,cellular anatomical structure,nuclear protein-containing complex,3,1,0.000107,GO:0032584,GO:0110165,cellular_component
type I oncostatin-M receptor complex,plasma membrane signaling receptor complex,cardiac muscle adaptation,5,1,0.000186,GO:0005900,GO:0098802,cellular_component
larval serum protein complex,extracellular protein-containing complex,protein-containing complex,4,1,8.13e-07,GO:0005616,GO:0140392,cellular_component
tissue regeneration,regeneration,meiotic cell cycle process,4,1,2.09e-05,GO:0042246,GO:0031099,biological_process
RNA polymerase I complex,nuclear protein-containing complex,protein-containing complex destabilizing activity,4,1,4.79e-06,GO:0005736,GO:0140513,cellular_component
ABIN2-NFKB1-MAP3K8 complex,intracellular protein-containing complex,carbon-sulfur lyase activity,4,1,0.0,GO:0034977,GO:0140535,cellular_component
DNA helicase A complex,nuclear protein-containing complex,amine metabolic process,4,1,3.09e-05,GO:0033203,GO:0140513,cellular_component
"oxidoreductase activity, acting on the aldehyde or oxo group of donors",oxidoreductase activity,phosphorus metabolic process,4,1,4.37e-08,GO:0016903,GO:0016491,molecular_function
central B cell deletion,programmed cell death involved in cell development,molecular function regulator activity,5,1,0.000132,GO:0002342,GO:0010623,biological_process
chaperone-mediated autophagy translocation complex,membrane protein complex,"catalytic activity, acting on a protein",4,1,4.79e-07,GO:0061742,GO:0098796,cellular_component
stress-induced homeostatically regulated protein degradation pathway,response to chemical,interferon regulatory factor complex,4,1,9.11e-06,GO:0120174,GO:0042221,biological_process
neuropeptide signaling pathway,G protein-coupled receptor signaling pathway,anatomical structure regression,5,1,1.02e-07,GO:0007218,GO:0007186,biological_process
growth,biological_process,developmental growth,2,1,0.000107,GO:0040007,GO:0008150,biological_process
pyruvate carboxylase activity,"ligase activity, forming carbon-carbon bonds",quaternary ammonium group transmembrane transporter activity,5,1,2.95e-07,GO:0004736,GO:0016885,molecular_function
molecular function activator activity,molecular function regulator activity,immune system process,3,1,1.29e-05,GO:0140677,GO:0098772,molecular_function
IgG binding,immunoglobulin binding,quaternary ammonium group transmembrane transporter activity,5,1,5.01e-07,GO:0019864,GO:0019865,molecular_function
hemocyte proliferation,immune system process,membrane protein complex,3,1,1.1e-08,GO:0035172,GO:0002376,biological_process
interleukin-15 receptor complex,signaling receptor complex,biological regulation,4,1,4.89e-07,GO:1905543,GO:0043235,cellular_component
primary shoot apical meristem specification,developmental process involved in reproduction,autophagy,4,1,7.59e-05,GO:0010072,GO:0003006,biological_process
catalytic activity,molecular_function,molecular function regulator activity,2,1,1.66e-06,GO:0003824,GO:0003674,molecular_function
immune response in gut-associated lymphoid tissue,immune response,detection of chemical stimulus,4,1,1.38e-05,GO:0002387,GO:0006955,biological_process
lysine:proton symporter activity,amino acid:proton symporter activity,developmental process involved in reproduction,5,1,0.0,GO:0015493,GO:0005280,molecular_function
cellular homeostasis,homeostatic process,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides",3,1,7.76e-06,GO:0019725,GO:0042592,biological_process
aminoacyl-tRNA ligase activity,"ligase activity, forming carbon-oxygen bonds",actin filament-based process,5,1,3.64e-08,GO:0004812,GO:0016875,molecular_function
formate efflux transmembrane transporter activity,formate transmembrane transporter activity,postsynaptic specialization,5,1,1.15e-07,GO:0015660,GO:0015499,molecular_function
plus-end kinesin complex,kinesin complex,postsynaptic specialization,5,1,7.51e-05,GO:0005873,GO:0005871,cellular_component
peptide binding,binding,cell cycle phase,3,1,2e-06,GO:0042277,GO:0005488,molecular_function
"molting cycle, collagen and cuticulin-based cuticle",molting cycle,quaternary ammonium group transmembrane transporter activity,4,1,1.7e-07,GO:0018996,GO:0042303,biological_process
mammary gland alveolus development,anatomical structure development,viral capsid,4,1,4.27e-07,GO:0060749,GO:0048856,biological_process
borate transmembrane transport,transmembrane transport,developmental process involved in reproduction,4,1,1.15e-07,GO:0035445,GO:0055085,biological_process
bacterial-type flagellum,membraneless organelle,nuclear protein-containing complex,4,1,5.22e-06,GO:0009288,GO:0043228,cellular_component
MKS complex,protein-containing complex,postsynaptic specialization,3,1,1.86e-07,GO:0036038,GO:0032991,cellular_component
plasma lipoprotein particle clearance,multicellular organismal process,membrane protein complex,3,1,8.91e-06,GO:0034381,GO:0032501,biological_process
cellular component assembly involved in morphogenesis,cellular component assembly,anatomical structure formation involved in morphogenesis,4,1,7.76e-06,GO:0010927,GO:0022607,biological_process
aminoacyl-tRNA synthetase multienzyme complex,catalytic complex,anatomical structure formation involved in morphogenesis,4,1,3.64e-08,GO:0017101,GO:1902494,cellular_component
