entity,hypernym,neg_hypernym,depth,level,pageviews,tree_num,parent_num
"Exostoses, Multiple Hereditary","Neoplastic Syndromes, Hereditary",Gram-Negative Bacteria,3,1,1.51e-08,C04.700.330,C04.700
Hepadnaviridae,DNA Viruses,"Decompression, Surgical",3,1,0.0,B04.280.375,B04.280
Secretome,Fluids and Secretions,Motivation,2,1,0.0,A12.895,A12
o-Phthalaldehyde,Aldehydes,Social Sciences,3,1,0.0,D02.047.750,D02.047
Pythiosis,Animal Diseases,Polymers,2,1,0.0,C22.761,C22
Hydrophthalmos,"Infant, Newborn, Diseases",Inorganic Chemicals,3,1,0.0,C16.614.438,C16.614
Supraglottitis,Respiratory Tract Infections,Pathologic Processes,3,1,0.0,C01.748.798,C01.748
Coliphages,Bacteriophages,Iron Compounds,3,1,0.0,B04.123.205,B04.123
Imino Sugars,Imines,Motivation,3,1,1.82e-08,D02.491.567,D02.491
Thermosensing,Physiological Phenomena,"Genetic Diseases, Inborn",2,1,0.0,G07.850,G07
Tenericutes,Gram-Negative Bacteria,Rupture,3,1,0.0,B03.440.860,B03.440
Lyases,Enzymes,Investigative Techniques,3,1,1.23e-08,D08.811.520,D08.811
Hemeproteins,Proteins,Emotions,3,1,0.0,D12.776.422,D12.776
Urachus,Embryonic Structures,"Adaptation, Psychological",2,1,0.0,A16.890,A16
Blastodisc,"Embryo, Nonmammalian",Animal Diseases,3,1,0.0,A16.331.042,A16.331
Betaproteobacteria,Proteobacteria,Emotions,3,1,0.0,B03.660.075,B03.660
Kartagener Syndrome,"Genetic Diseases, Inborn",Biological Factors,3,1,0.0,C16.320.480,C16.320
"Xanthogranuloma, Juvenile",Skin Diseases,Embryonic Structures,3,1,0.0,C17.800.973,C17.800
Esophagostomy,Ostomy,Drug Combinations,3,1,0.0,E04.579.358,E04.579
Panniculitis,Connective Tissue Diseases,"Organisms, Genetically Modified",3,1,1.32e-08,C17.300.710,C17.300
Hepatopancreas,Animal Structures,"Genetic Diseases, Inborn",2,1,0.0,A13.463,A13
Melanogenesis,Metabolism,Heart Diseases,2,1,1.05e-08,G03.474,G03
Lagophthalmos,Eye Manifestations,Publication Formats,3,1,0.0,C11.300.750,C11.300
Pyrrolizidine Alkaloids,Alkaloids,Polycyclic Compounds,3,1,1.62e-08,D03.132.716,D03.132
Albumins,Proteins,Genetic Techniques,3,1,0.0,D12.776.034,D12.776
Orofaciodigital Syndromes,"Genetic Diseases, Inborn","Embryo, Nonmammalian",3,1,0.0,C16.320.714,C16.320
ProTides,Prodrugs,Amides,3,1,0.0,D26.675.500,D26.675
Boranes,Boron Compounds,Semicarbazides,3,1,1.23e-08,D01.132.105,D01.132
