model,level,lp_accuracy,lp_confidence,lp_ece,lp_gap,lp_n,vb_accuracy,vb_confidence,vb_ece,vb_gap,vb_n,avg_pageviews,avg_depth
mistral-7b,1,0.7300,0.6094,0.4497,-0.1206,400,0.7300,0.9998,0.0002,0.2698,400,0.0001,2.8850
mistral-7b,2,0.8425,0.4659,0.4669,-0.3766,400,0.8450,0.9999,0.0001,0.1549,400,0.0001,4.7750
mistral-7b,3,0.8900,0.4316,0.4867,-0.4584,400,0.8875,0.9998,0.0023,0.1123,400,0.0000,6.6000
mistral-7b,4,0.8850,0.4300,0.4912,-0.4550,400,0.8550,0.9998,0.0023,0.1448,400,0.0000,8.4700
mistral-7b,5,0.9175,0.4384,0.4911,-0.4791,400,0.9025,0.9998,0.0048,0.0973,400,0.0000,10.4100
mistral-7b,6,0.8975,0.4159,0.4976,-0.4816,400,0.8800,0.9999,0.0049,0.1199,400,0.0000,13.2250
qwen2.5-7b,1,0.7700,0.4529,0.4614,-0.3171,400,0.7613,0.8594,0.0981,0.0981,398,0.0001,2.8850
qwen2.5-7b,2,0.8125,0.3429,0.5038,-0.4696,400,0.7920,0.8823,0.0771,0.0904,399,0.0001,4.7750
qwen2.5-7b,3,0.8700,0.3839,0.5056,-0.4861,400,0.8467,0.9020,0.0352,0.0553,398,0.0000,6.6000
qwen2.5-7b,4,0.8675,0.3790,0.5118,-0.4885,400,0.8471,0.9036,0.0447,0.0565,399,0.0000,8.4700
qwen2.5-7b,5,0.8775,0.3867,0.5077,-0.4908,400,0.8500,0.9139,0.0666,0.0639,400,0.0000,10.4100
qwen2.5-7b,6,0.8450,0.3555,0.5068,-0.4895,400,0.8388,0.9276,0.0838,0.0888,397,0.0000,13.2250
qwen2.5-3b,1,0.7025,0.2471,0.4987,-0.4554,400,0.7500,0.8858,0.0632,0.1358,400,0.0001,2.8850
qwen2.5-3b,2,0.7000,0.1980,0.5122,-0.5020,400,0.7600,0.8426,0.0801,0.0826,400,0.0001,4.7750
qwen2.5-3b,3,0.7150,0.2144,0.5046,-0.5006,400,0.7669,0.8892,0.0697,0.1223,399,0.0000,6.6000
qwen2.5-3b,4,0.7500,0.2422,0.5132,-0.5078,400,0.7775,0.9150,0.0550,0.1375,400,0.0000,8.4700
qwen2.5-3b,5,0.7575,0.2511,0.5099,-0.5064,400,0.7800,0.9497,0.0398,0.1697,400,0.0000,10.4100
qwen2.5-3b,6,0.7450,0.2484,0.5078,-0.4966,400,0.7419,0.9746,0.0497,0.2327,399,0.0000,13.2250
phi-2,1,0.6850,0.6332,0.2589,-0.0518,400,0.5146,0.9761,0.0720,0.4615,239,0.0001,2.8850
phi-2,2,0.7750,0.5240,0.3060,-0.2510,400,0.5156,0.9452,0.0659,0.4296,289,0.0001,4.7750
phi-2,3,0.8575,0.5039,0.3612,-0.3536,400,0.5635,0.9083,0.1153,0.3448,323,0.0000,6.6000
phi-2,4,0.8525,0.5025,0.3644,-0.3500,400,0.5306,0.9094,0.1037,0.3788,343,0.0000,8.4700
phi-2,5,0.8925,0.5005,0.3920,-0.3920,400,0.5537,0.8897,0.1716,0.3360,354,0.0000,10.4100
phi-2,6,0.8400,0.5145,0.3412,-0.3255,400,0.6099,0.8294,0.2429,0.2195,382,0.0000,13.2250
gpt-5.4-nano,1,0.7275,0.6367,0.3773,-0.0908,400,0.7375,0.8969,0.1632,0.1594,400,0.0001,2.8850
gpt-5.4-nano,2,0.7975,0.4780,0.4154,-0.3195,400,0.8025,0.9222,0.1275,0.1197,400,0.0001,4.7750
gpt-5.4-nano,3,0.8700,0.4342,0.4460,-0.4358,400,0.8525,0.9385,0.0930,0.0860,400,0.0000,6.6000
gpt-5.4-nano,4,0.8725,0.4239,0.4616,-0.4486,400,0.8500,0.9441,0.1136,0.0941,400,0.0000,8.4700
gpt-5.4-nano,5,0.9000,0.4523,0.4618,-0.4477,400,0.8650,0.9513,0.0943,0.0863,400,0.0000,10.4100
gpt-5.4-nano,6,0.8725,0.3967,0.4980,-0.4758,400,0.8425,0.9603,0.1234,0.1178,400,0.0000,13.2250
gpt-5.4-mini,1,0.7650,0.5216,0.3875,-0.2434,400,0.7675,0.9564,0.1889,0.1889,400,0.0001,2.8850
gpt-5.4-mini,2,0.8600,0.3924,0.4821,-0.4676,400,0.8200,0.9674,0.1563,0.1474,400,0.0001,4.7750
gpt-5.4-mini,3,0.8950,0.4104,0.5071,-0.4846,400,0.8600,0.9745,0.1129,0.1145,400,0.0000,6.6000
gpt-5.4-mini,4,0.9100,0.4063,0.5126,-0.5037,400,0.8775,0.9763,0.0988,0.0988,400,0.0000,8.4700
gpt-5.4-mini,5,0.9150,0.4194,0.5170,-0.4956,400,0.9025,0.9794,0.0826,0.0769,400,0.0000,10.4100
gpt-5.4-mini,6,0.9350,0.4348,0.5131,-0.5002,400,0.9175,0.9839,0.0654,0.0664,400,0.0000,13.2250
